City_ID,Date,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,2021-01-08 05:31:39,Viedma,AR,-40.8135,-62.9967,57.69,72,0,3.44,clear sky
138,2021-01-08 05:35:43,Bengkulu,ID,-3.8004,102.2655,86.31,59,76,9.06,moderate rain
139,2021-01-08 05:35:43,Fortuna Foothills,US,32.6578,-114.4119,53.6,26,1,4.61,clear sky
140,2021-01-08 05:35:43,Srednekolymsk,RU,67.45,153.6833,-20.65,85,99,1.48,overcast clouds
141,2021-01-08 05:35:44,Kalabo,ZM,-14.97,22.6814,71.62,87,100,7.18,overcast clouds
142,2021-01-08 05:35:44,Novyy Oskol,RU,50.7631,37.8691,35.2,94,99,19.28,overcast clouds
143,2021-01-08 05:35:44,Jiujiang,CN,29.7333,115.9833,37.02,53,0,11.05,clear sky
144,2021-01-08 05:35:45,Abbeville,FR,50.1,1.8333,30.2,93,90,3.44,overcast clouds
145,2021-01-08 05:35:45,Grindavik,IS,63.8424,-22.4338,42.8,100,90,29.93,light intensity drizzle
146,2021-01-08 05:35:45,Clyde River,CA,70.4692,-68.5914,-2.2,71,1,18.41,clear sky
147,2021-01-08 05:35:46,Ntoum,GA,0.3833,9.7833,75.2,94,40,4.61,scattered clouds
148,2021-01-08 05:35:46,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.54,91,85,11.05,overcast clouds
149,2021-01-08 05:35:47,Trat,TH,12.5,102.5,91.4,40,20,9.22,few clouds
150,2021-01-08 05:35:48,Xingyi,CN,24.1877,102.817,45.03,61,98,5.79,overcast clouds
151,2021-01-08 05:35:48,Tombouctou,ML,20.0,-3.0,68.14,24,10,8.66,clear sky
152,2021-01-08 05:34:16,Fairbanks,US,64.8378,-147.7164,16.0,85,75,3.44,broken clouds
153,2021-01-08 05:35:48,Altay,CN,47.8667,88.1167,11.12,74,100,1.05,overcast clouds
154,2021-01-08 05:35:49,Mecca,SA,21.4267,39.8261,75.15,55,0,1.99,clear sky
155,2021-01-08 05:35:49,Luderitz,NA,-26.6481,15.1594,67.68,64,0,5.79,clear sky
156,2021-01-08 05:35:50,Adre,TD,13.4667,22.2,66.33,27,35,20.6,scattered clouds
157,2021-01-08 05:35:50,Sao Filipe,CV,14.8961,-24.4956,73.08,80,0,7.16,clear sky
